"Anio","Cve_estado","Estado","Tipo_delito","Casos"
"2019",1,"Aguascalientes","Robo",12988
"2019",1,"Aguascalientes","Secuestro",12
"2019",1,"Aguascalientes","Trafico de menores",1
"2019",1,"Aguascalientes","Trata de personas",3
"2019",1,"Aguascalientes","Violacion equiparada",86
"2019",1,"Aguascalientes","Violacion simple",216
"2019",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",12
"2019",1,"Aguascalientes","Violencia familiar",2152
"2020",1,"Aguascalientes","Aborto",5
"2020",1,"Aguascalientes","Abuso de confianza",614
"2020",1,"Aguascalientes","Abuso sexual",0
"2020",1,"Aguascalientes","Acoso sexual",0
"2020",1,"Aguascalientes","Allanamiento de morada",477
"2020",1,"Aguascalientes","Amenazas",3079
"2020",1,"Aguascalientes","Contra el medio ambiente",43
"2020",1,"Aguascalientes","Corrupcion de menores",64
"2020",1,"Aguascalientes","Daño a la propiedad",3647
"2020",1,"Aguascalientes","Delitos cometidos por servidores publicos",450
"2020",1,"Aguascalientes","Despojo",315
"2020",1,"Aguascalientes","Electorales",6
"2020",1,"Aguascalientes","Evasion de presos",0
"2020",1,"Aguascalientes","Extorsion",104
"2020",1,"Aguascalientes","Falsedad",62
"2020",1,"Aguascalientes","Falsificacion",817
"2020",1,"Aguascalientes","Feminicidio",3
"2020",1,"Aguascalientes","Fraude",1607
"2020",1,"Aguascalientes","Homicidio",221
"2020",1,"Aguascalientes","Hostigamiento sexual",79
"2020",1,"Aguascalientes","Incesto",0
"2020",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",180
"2020",1,"Aguascalientes","Lesiones",4360
"2020",1,"Aguascalientes","Narcomenudeo",2099
"2020",1,"Aguascalientes","Otros delitos contra el patrimonio",232
"2020",1,"Aguascalientes","Otros delitos contra la familia",35
"2020",1,"Aguascalientes","Otros delitos contra la sociedad",4
"2020",1,"Aguascalientes","Otros delitos del Fuero Comun",1349
"2020",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",441
"2020",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",405
"2020",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",43
"2020",1,"Aguascalientes","Rapto",0
"2020",1,"Aguascalientes","Robo",10417
"2020",1,"Aguascalientes","Secuestro",12
"2020",1,"Aguascalientes","Trafico de menores",0
"2020",1,"Aguascalientes","Trata de personas",2
"2020",1,"Aguascalientes","Violacion equiparada",89
"2020",1,"Aguascalientes","Violacion simple",206
"2020",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",6
"2020",1,"Aguascalientes","Violencia familiar",2153
"2021",1,"Aguascalientes","Aborto",14
"2021",1,"Aguascalientes","Abuso de confianza",711
"2021",1,"Aguascalientes","Abuso sexual",0
"2021",1,"Aguascalientes","Acoso sexual",0
"2021",1,"Aguascalientes","Allanamiento de morada",576
"2021",1,"Aguascalientes","Amenazas",3543
"2021",1,"Aguascalientes","Contra el medio ambiente",62
"2021",1,"Aguascalientes","Corrupcion de menores",48
"2021",1,"Aguascalientes","Daño a la propiedad",4244
"2021",1,"Aguascalientes","Delitos cometidos por servidores publicos",532
"2021",1,"Aguascalientes","Despojo",392
"2021",1,"Aguascalientes","Electorales",67
"2021",1,"Aguascalientes","Evasion de presos",0
"2021",1,"Aguascalientes","Extorsion",88
"2021",1,"Aguascalientes","Falsedad",76
"2021",1,"Aguascalientes","Falsificacion",848
"2021",1,"Aguascalientes","Feminicidio",9
"2021",1,"Aguascalientes","Fraude",2305
"2021",1,"Aguascalientes","Homicidio",221
"2021",1,"Aguascalientes","Hostigamiento sexual",115
"2021",1,"Aguascalientes","Incesto",0
"2021",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",231
"2021",1,"Aguascalientes","Lesiones",4491
"2021",1,"Aguascalientes","Narcomenudeo",1113
"2021",1,"Aguascalientes","Otros delitos contra el patrimonio",191
"2021",1,"Aguascalientes","Otros delitos contra la familia",31
"2021",1,"Aguascalientes","Otros delitos contra la sociedad",2
"2021",1,"Aguascalientes","Otros delitos del Fuero Comun",2021
"2021",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",387
"2021",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",506
"2021",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",54
"2021",1,"Aguascalientes","Rapto",0
"2021",1,"Aguascalientes","Robo",10103
"2021",1,"Aguascalientes","Secuestro",2
"2021",1,"Aguascalientes","Trafico de menores",0
"2021",1,"Aguascalientes","Trata de personas",5
"2021",1,"Aguascalientes","Violacion equiparada",110
"2021",1,"Aguascalientes","Violacion simple",255
"2021",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",4
"2021",1,"Aguascalientes","Violencia familiar",2288
"2022",1,"Aguascalientes","Aborto",2
"2022",1,"Aguascalientes","Abuso de confianza",43
"2022",1,"Aguascalientes","Abuso sexual",0
"2022",1,"Aguascalientes","Acoso sexual",0
"2022",1,"Aguascalientes","Allanamiento de morada",53
"2022",1,"Aguascalientes","Amenazas",248
"2022",1,"Aguascalientes","Contra el medio ambiente",4
"2022",1,"Aguascalientes","Corrupcion de menores",6
"2022",1,"Aguascalientes","Daño a la propiedad",345
"2022",1,"Aguascalientes","Delitos cometidos por servidores publicos",42
"2022",1,"Aguascalientes","Despojo",18
"2022",1,"Aguascalientes","Electorales",4
"2022",1,"Aguascalientes","Evasion de presos",0
"2022",1,"Aguascalientes","Extorsion",3
"2022",1,"Aguascalientes","Falsedad",4
"2022",1,"Aguascalientes","Falsificacion",96
"2022",1,"Aguascalientes","Feminicidio",2
"2022",1,"Aguascalientes","Fraude",182
"2022",1,"Aguascalientes","Homicidio",15
"2022",1,"Aguascalientes","Hostigamiento sexual",6
"2022",1,"Aguascalientes","Incesto",0
"2022",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",15
"2022",1,"Aguascalientes","Lesiones",309
"2022",1,"Aguascalientes","Narcomenudeo",227
"2022",1,"Aguascalientes","Otros delitos contra el patrimonio",25
"2022",1,"Aguascalientes","Otros delitos contra la familia",2
"2022",1,"Aguascalientes","Otros delitos contra la sociedad",0
"2022",1,"Aguascalientes","Otros delitos del Fuero Comun",144
"2022",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",28
"2022",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",31
"2022",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",3
"2022",1,"Aguascalientes","Rapto",0
"2022",1,"Aguascalientes","Robo",834
"2022",1,"Aguascalientes","Secuestro",1
"2022",1,"Aguascalientes","Trafico de menores",0
"2022",1,"Aguascalientes","Trata de personas",0
"2022",1,"Aguascalientes","Violacion equiparada",6
"2022",1,"Aguascalientes","Violacion simple",20
"2022",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",0
"2022",1,"Aguascalientes","Violencia familiar",161
"2015",2,"Baja California","Aborto",53
"2015",2,"Baja California","Abuso de confianza",917
"2015",2,"Baja California","Abuso sexual",1247
"2015",2,"Baja California","Acoso sexual",0
"2015",2,"Baja California","Allanamiento de morada",3440
"2015",2,"Baja California","Amenazas",4197
"2015",2,"Baja California","Contra el medio ambiente",7
"2015",2,"Baja California","Corrupcion de menores",312
"2015",2,"Baja California","Daño a la propiedad",10975
"2015",2,"Baja California","Delitos cometidos por servidores publicos",401
"2015",2,"Baja California","Despojo",1196
"2015",2,"Baja California","Electorales",2
"2015",2,"Baja California","Evasion de presos",7
"2015",2,"Baja California","Extorsion",221
"2015",2,"Baja California","Falsedad",147
"2015",2,"Baja California","Falsificacion",497
"2015",2,"Baja California","Feminicidio",10
"2015",2,"Baja California","Fraude",1993
"2015",2,"Baja California","Homicidio",1219
"2015",2,"Baja California","Hostigamiento sexual",115
"2015",2,"Baja California","Incesto",2
"2015",2,"Baja California","Incumplimiento de obligaciones de asistencia familiar",1963
"2015",2,"Baja California","Lesiones",15325
"2015",2,"Baja California","Narcomenudeo",0
"2015",2,"Baja California","Otros delitos contra el patrimonio",198
"2015",2,"Baja California","Otros delitos contra la familia",108
"2015",2,"Baja California","Otros delitos contra la sociedad",6
"2015",2,"Baja California","Otros delitos del Fuero Comun",15238
"2015",2,"Baja California","Otros delitos que atentan contra la libertad personal",797
"2015",2,"Baja California","Otros delitos que atentan contra la libertad y la seguridad sexual",306
"2015",2,"Baja California","Otros delitos que atentan contra la vida y la integridad corporal",191
"2015",2,"Baja California","Rapto",1
"2015",2,"Baja California","Robo",48838
"2015",2,"Baja California","Secuestro",11
"2015",2,"Baja California","Trafico de menores",5
"2015",2,"Baja California","Trata de personas",26
"2015",2,"Baja California","Violacion equiparada",385
"2015",2,"Baja California","Violacion simple",696
"2015",2,"Baja California","Violencia de genero en todas sus modalidades distinta a la violencia familiar",0
"2015",2,"Baja California","Violencia familiar",8892
"2016",2,"Baja California","Aborto",43
"2016",2,"Baja California","Abuso de confianza",653
"2016",2,"Baja California","Abuso sexual",1175
"2016",2,"Baja California","Acoso sexual",0
"2016",2,"Baja California","Allanamiento de morada",3307
"2016",2,"Baja California","Amenazas",3595
"2016",2,"Baja California","Contra el medio ambiente",28
"2016",2,"Baja California","Corrupcion de menores",266
"2016",2,"Baja California","Daño a la propiedad",8862
"2016",2,"Baja California","Delitos cometidos por servidores publicos",1397
"2016",2,"Baja California","Despojo",1062
"2016",2,"Baja California","Electorales",26
"2016",2,"Baja California","Evasion de presos",5
"2016",2,"Baja California","Extorsion",175
"2016",2,"Baja California","Falsedad",130
"2016",2,"Baja California","Falsificacion",582
"2016",2,"Baja California","Feminicidio",12
"2016",2,"Baja California","Fraude",1519
"2016",2,"Baja California","Homicidio",1503
"2016",2,"Baja California","Hostigamiento sexual",90
"2016",2,"Baja California","Incesto",2
"2016",2,"Baja California","Incumplimiento de obligaciones de asistencia familiar",1514
"2016",2,"Baja California","Lesiones",12394
"2016",2,"Baja California","Narcomenudeo",1763
"2016",2,"Baja California","Otros delitos contra el patrimonio",397
"2016",2,"Baja California","Otros delitos contra la familia",356
"2016",2,"Baja California","Otros delitos contra la sociedad",5
"2016",2,"Baja California","Otros delitos del Fuero Comun",8673
"2016",2,"Baja California","Otros delitos que atentan contra la libertad personal",594
"2016",2,"Baja California","Otros delitos que atentan contra la libertad y la seguridad sexual",276
"2016",2,"Baja California","Otros delitos que atentan contra la vida y la integridad corporal",659
"2016",2,"Baja California","Rapto",0
"2016",2,"Baja California","Robo",48708
"2016",2,"Baja California","Secuestro",14
"2016",2,"Baja California","Trafico de menores",1
"2016",2,"Baja California","Trata de personas",19
"2016",2,"Baja California","Violacion equiparada",372
"2016",2,"Baja California","Violacion simple",617
"2016",2,"Baja California","Violencia de genero en todas sus modalidades distinta a la violencia familiar",0
"2016",2,"Baja California","Violencia familiar",8315
"2017",2,"Baja California","Aborto",73
"2017",2,"Baja California","Abuso de confianza",633
"2017",2,"Baja California","Abuso sexual",1111
"2017",2,"Baja California","Acoso sexual",0
"2017",2,"Baja California","Allanamiento de morada",2261
"2017",2,"Baja California","Amenazas",3328
"2017",2,"Baja California","Contra el medio ambiente",22
"2017",2,"Baja California","Corrupcion de menores",257
"2017",2,"Baja California","Daño a la propiedad",7310
"2017",2,"Baja California","Delitos cometidos por servidores publicos",1048
"2017",2,"Baja California","Despojo",1139
"2017",2,"Baja California","Electorales",0
"2017",2,"Baja California","Evasion de presos",5
"2017",2,"Baja California","Extorsion",198
"2017",2,"Baja California","Falsedad",119
"2017",2,"Baja California","Falsificacion",431
"2017",2,"Baja California","Feminicidio",11
"2017",2,"Baja California","Fraude",1384
"2017",2,"Baja California","Homicidio",2430
"2017",2,"Baja California","Hostigamiento sexual",106
"2017",2,"Baja California","Incesto",0
"2017",2,"Baja California","Incumplimiento de obligaciones de asistencia familiar",1061
"2017",2,"Baja California","Lesiones",11208
"2017",2,"Baja California","Narcomenudeo",5745
"2017",2,"Baja California","Otros delitos contra el patrimonio",652
"2017",2,"Baja California","Otros delitos contra la familia",367
"2017",2,"Baja California","Otros delitos contra la sociedad",19
"2017",2,"Baja California","Otros delitos del Fuero Comun",8132
